,script_name,author,link,client,server,other,description,tags,category,path
0,ranksmainmap,blandrice,https://github.com/blandrice/krunkerClansPlus,yes,,,Calculate camera shift between 1st person to 3rd person staring at a subject,"['database', 'clansrank']",database,https://github.com/blandrice/blandlibs/tree/master/libs/database/clansrank
1,ranksmainmap,blandrice,https://github.com/blandrice/krunkerClansPlus,,yes,,This is a shareable script to display popular Krunker Commmunity Clans Ranks in-game.,"['database', 'clansrank']",database,https://github.com/blandrice/blandlibs/tree/master/libs/database/clansrank
2,ranks,blandrice,https://github.com/blandrice/krunkerClansPlus,yes,,,Create a map in Krunker and copy the client & server scripts from this github to your new map.,"['database', 'clansrank']",database,https://github.com/blandrice/blandlibs/tree/master/libs/database/clansrank
3,ranks,,,,yes,,,"['database', 'clansrank']",database,https://github.com/blandrice/blandlibs/tree/master/libs/database/clansrank
4,drawtriangle,Bub Lap,https://discord.com/channels/484192043833491487/575245801744498689/913314916637749258,,,yes,Basic drawTriangle action (KrunkScript example),"['examples', 'drawtriangle']",examples,https://github.com/blandrice/blandlibs/tree/master/libs/examples/drawtriangle
5,r_djumpclient,blandrice,,,,yes,double-jump using registersync feature,"['game', 'custommovement', 'doublejump', 'djregistersync']",game,https://github.com/blandrice/blandlibs/tree/master/libs/game/custommovement/doublejump/djregistersync
6,r_djumpnode,blandrice,,,,yes,,"['game', 'custommovement', 'doublejump', 'djregistersync_nodes']",game,https://github.com/blandrice/blandlibs/tree/master/libs/game/custommovement/doublejump/djregistersync_nodes
7,r_djumpnode,blandrice,,yes,,,Doublejump with crystals,"['game', 'custommovement', 'doublejump', 'djregistersync_nodes']",game,https://github.com/blandrice/blandlibs/tree/master/libs/game/custommovement/doublejump/djregistersync_nodes
8,r_djumpnode,blandrice,,,yes,,Doublejump with crystals,"['game', 'custommovement', 'doublejump', 'djregistersync_nodes']",game,https://github.com/blandrice/blandlibs/tree/master/libs/game/custommovement/doublejump/djregistersync_nodes
9,old_djump,blandrice,,yes,,,old doublejump by blandrice before registersync was introduced.,"['game', 'custommovement', 'doublejump', 'dj_oldsync']",game,https://github.com/blandrice/blandlibs/tree/master/libs/game/custommovement/doublejump/dj_oldsync
10,old_djump,blandrice,,,yes,,,"['game', 'custommovement', 'doublejump', 'dj_oldsync']",game,https://github.com/blandrice/blandlibs/tree/master/libs/game/custommovement/doublejump/dj_oldsync
11,customweapons,DQ Swat,https://discord.com/channels/859947586005368862/862113777946984459/923687262724685887,,,yes,custom weapon script.,"['game', 'customWeapons']",game,https://github.com/blandrice/blandlibs/tree/master/libs/game/customWeapons
12,hitbox,blandrice,,,yes,,ECS hitbox that can be assigned to a specific object.,"['game', 'ECS', 'components', 'hitbox']",game,https://github.com/blandrice/blandlibs/tree/master/libs/game/ECS/components/hitbox
13,admin,KG07,https://github.com/KG07/admin_system_version1,yes,,,Admin system code: for map makers who doesn’t know or know a bit of scripting to hire some moderators into your map,"['gameutil', 'admin']",gameutil,https://github.com/blandrice/blandlibs/tree/master/libs/gameutil/admin
14,admin,KG07,https://github.com/KG07/admin_system_version1,,yes,,,"['gameutil', 'admin']",gameutil,https://github.com/blandrice/blandlibs/tree/master/libs/gameutil/admin
15,checkpoint,Sakurasou,https://discord.com/channels/484192043833491487/575245801744498689/1045330962277486652,,,yes,"Changes the names of the Checkpoints on the Speedrun Timer in the bottom right (Point 1, Point 2, ...)","['gameutil', 'checkpoint']",gameutil,https://github.com/blandrice/blandlibs/tree/master/libs/gameutil/checkpoint
16,gamestart,blandrice,,yes,,,Detect game start in a map with a countdown.,"['gameutil', 'gamestart']",gameutil,https://github.com/blandrice/blandlibs/tree/master/libs/gameutil/gamestart
17,gamestart,blandrice,,,yes,,,"['gameutil', 'gamestart']",gameutil,https://github.com/blandrice/blandlibs/tree/master/libs/gameutil/gamestart
18,g,blandrice,,,,yes,some global vars that other libs can reference to reduce calls,"['gameutil', 'global']",gameutil,https://github.com/blandrice/blandlibs/tree/master/libs/gameutil/global
19,infected,DukeV,https://discord.com/channels/859947586005368862/862113777946984459/909435501298204713,,yes,,a way to find out whether a player is infected or not,"['gameutil', 'infected']",gameutil,https://github.com/blandrice/blandlibs/tree/master/libs/gameutil/infected
20,plrutil,blandrice,,,,yes,,"['gameutil', 'plrutil']",gameutil,https://github.com/blandrice/blandlibs/tree/master/libs/gameutil/plrutil
21,plrutil,blandrice,,yes,,,workaround to check how many players are spawned in,"['gameutil', 'plrutil']",gameutil,https://github.com/blandrice/blandlibs/tree/master/libs/gameutil/plrutil
22,plrutil,blandrice,,,yes,,,"['gameutil', 'plrutil']",gameutil,https://github.com/blandrice/blandlibs/tree/master/libs/gameutil/plrutil
23,spectator,SlxTnT,https://discord.com/channels/859947586005368862/862113777946984459/900998093300969473,,,yes,My attempt at server side spectator checks. Can check the value with player.properties.isSpectator,"['gameutil', 'spectator']",gameutil,https://github.com/blandrice/blandlibs/tree/master/libs/gameutil/spectator
